"","ParcelId","Address","SalePrice","SaleDate","SaleCondition","AssessedValue","ParcelType","YearBuilt","GrLivArea","BsmtFinSF1","LotArea","Bedrooms","CentralAir","Fireplaces","Occupancy","Style","Neighborhood","InstrumentNo"
"3767",535178050,"2023 KELLOGG AVE",140000,"5/1/2000 12:00:00 AM","Normal",178600,"Dwg&Lot",1956,1535,627,11250,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","5374"
"3768",535178060,"2017 KELLOGG AVE",180000,"8/1/2015 12:00:00 AM","Normal",145100,"Dwg&Lot",1956,1196,616,9000,2,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201507581"
"3769",535178070,"2009 KELLOGG AVE",126500,"7/1/2003 12:00:00 AM","Normal",141600,"Dwg&Lot",1957,1146,962,7000,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","314059"
"3770",535178080,"315 20TH ST",126000,"5/1/2000 12:00:00 AM","Normal",142800,"Dwg&Lot",1956,1152,591,9000,3,"Yes",1,"Single-family detached (includes detached townhouses)","Split level","N Ames","201102473"
"3771",535178100,"2004 BURNETT AVE",148000,"2/1/2006 12:00:00 AM","Normal",166700,"Dwg&Lot",1956,1370,959,10000,3,"Yes",1,"Single-family detached (includes detached townhouses)","Split level","N Ames","602054"
"3772",535178140,"2104 BURNETT AVE",67000,"1/1/1991 12:00:00 AM","Normal",130000,"Dwg&Lot",1956,971,467,8125,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","279-28"
"3773",535178150,"2110 BURNETT AVE",176500,"1/1/2016 12:00:00 AM","Normal",177600,"Dwg&Lot",1956,1483,1075,9000,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201600202"
"3774",535178160,"2114 BURNETT AVE",59500,"1/1/1991 12:00:00 AM","Normal",138500,"Dwg&Lot",1956,1106,479,8375,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","276-231"
"3775",535178170,"2120 BURNETT AVE",0,"","Normal",132600,"Dwg&Lot",1956,1121,802,8500,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201215604"
"3776",535179010,"312 22ND ST",149900,"8/1/1997 12:00:00 AM","Normal",205900,"Dwg&Lot",1959,1964,1372,10160,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","9708859"
"3777",535179020,"306 22ND ST",159500,"6/1/2010 12:00:00 AM","Normal",189300,"Dwg&Lot",1959,1580,734,10032,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","1005780"
"3778",535179030,"218 22ND ST",115000,"1/1/2002 12:00:00 AM","Normal",145400,"Dwg&Lot",1956,1168,845,10117,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","210309"
"3779",535179040,"214 22ND ST",177000,"2/1/2016 12:00:00 AM","Normal",160600,"Dwg&Lot",1957,1154,548,12756,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201601815"
"3780",535179050,"208 22ND ST",173500,"5/1/2015 12:00:00 AM","Normal",153700,"Dwg&Lot",1957,1092,895,14850,2,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201507043"
"3781",535179060,"202 22ND ST",164900,"5/1/2013 12:00:00 AM","Normal",176400,"Dwg&Lot",1957,1392,1040,11900,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","201306402"
"3782",535179070,"2135 DUFF AVE",126000,"10/1/2001 12:00:00 AM","Normal",169600,"Dwg&Lot",1957,1448,658,11927,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","905254"
"3783",535179080,"2115 DOUGLAS AVE",86900,"1/1/1991 12:00:00 AM","Normal",173900,"Dwg&Lot",1957,1395,590,9545,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201509427"
"3784",535179090,"203 21ST ST",160000,"4/1/2003 12:00:00 AM","Normal",189300,"Dwg&Lot",1957,1749,531,11206,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","307017"
"3785",535179100,"209 21ST ST",0,"","Normal",131500,"Dwg&Lot",1956,1066,0,9936,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","194-061"
"3786",535179110,"215 21ST ST",124000,"4/1/2002 12:00:00 AM","Normal",148600,"Dwg&Lot",1958,1057,0,9857,2,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","206609"
"3787",535179120,"221 21ST ST",116000,"4/1/2007 12:00:00 AM","Normal",125500,"Dwg&Lot",1957,922,512,9770,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","703977"
"3788",535179130,"225 21ST ST",86000,"1/1/1992 12:00:00 AM","Normal",147000,"Dwg&Lot",1957,1172,616,9648,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","287-176"
"3789",535179140,"231 21ST ST",112500,"12/1/2011 12:00:00 AM","Normal",132700,"Dwg&Lot",1956,1029,270,9590,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201113360"
"3790",535179150,"305 21ST ST",63500,"1/1/1988 12:00:00 AM","Abnorml",177600,"Dwg&Lot",1957,1166,638,9504,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","256-46"
"3791",535179160,"311 21ST ST",149900,"5/1/2012 12:00:00 AM","Normal",160700,"Dwg&Lot",1956,1200,905,10400,3,"Yes",2,"Single-family detached (includes detached townhouses)","One story","N Ames","201205825"
"3792",535180010,"312 21ST ST",72500,"1/1/1983 12:00:00 AM","Normal",152900,"Dwg&Lot",1957,1088,1060,11280,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","204-192"
"3793",535180020,"306 21ST ST",170000,"6/1/2013 12:00:00 AM","Normal",169200,"Dwg&Lot",1956,1124,914,10152,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201308173"
"3794",535180030,"232 21ST ST",135000,"6/1/2007 12:00:00 AM","Normal",141400,"Dwg&Lot",1956,1048,586,10152,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","707185"
"3795",535180040,"226 21ST ST",94500,"4/1/1997 12:00:00 AM","Normal",131300,"Dwg&Lot",1956,1032,536,10152,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","9703722"
"3796",535180050,"222 21ST ST",109900,"9/1/1997 12:00:00 AM","Normal",154200,"Dwg&Lot",1956,1178,687,10152,3,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","100925"
"3797",535180060,"216 21ST ST",66000,"1/1/1989 12:00:00 AM","Normal",169100,"Dwg&Lot",1957,1338,470,10152,3,"Yes",1,"Single-family detached (includes detached townhouses)","Split level","N Ames","522-216"
"3798",535180070,"210 21ST ST",165000,"10/1/2014 12:00:00 AM","Normal",154200,"Dwg&Lot",1957,1236,360,10011,2,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","201409504"
"3799",535180080,"204 21ST ST",90000,"1/1/1992 12:00:00 AM","Normal",187000,"Dwg&Lot",1957,1545,739,10480,3,"Yes",1,"Single-family detached (includes detached townhouses)","One story","N Ames","287-228"
"3800",535180090,"2007 DOUGLAS AVE",0,"","Normal",138800,"Dwg&Lot",1957,1090,99,8946,2,"Yes",0,"Single-family detached (includes detached townhouses)","One story","N Ames","201511106"
